Jenis Kelamin;Tanggal Lahir;Domisili;Hobi;Status Pernikahan;Agama Ayah;Agama Ibu;Pekerjaan;Penghasilan;Pendidikan Terakhir;Tinggi Badan;Berat Badan;Warna Kulit;Tipe Rambut;Cacat Fisik;Riwayat Penyakit;Merokok;
Laki-Laki;30/04/1996;Yogyakarta;Bersepeda;Lajang;Islam;Islam;Teknisi;Rp 2.850.000 - Rp 3.050.000;SMA;175;70;Kuning Langsat;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;17/12/1993;Sleman;Membaca;Lajang;Islam;Islam;Penulis;Rp 3.050.000 - Rp 3.250.000;SMA;165;55;Sawo Matang;Bergelombang;Tidak;Tidak Ada;Tidak;
Laki-Laki;09/07/1997;Yogyakarta;Bersepeda;Lajang;Islam;Islam;Pengusaha;Rp 3.250.000 - Rp 3.500.000;S1;180;75;Putih;Bergelombang;Tidak;Tidak Ada;Tidak;
Perempuan;21/05/1996;Yogyakarta;Memasak;Lajang;Islam;Islam;Chef;Rp 5.800.000 - Rp 6.000.000;SMA;160;60;Sawo Matang;Keriting;Tidak;Tidak Ada;Tidak;
Perempuan;03/01/1990; Bekasi;Fotografi;Lajang;Islam;Islam;Desainer Interior;Rp 4.000.000 - Rp 4.200.000;S1;178;78;Kuning Langsat;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;27/08/1994; Klaten;Menulis;Lajang;Islam;Islam;Karyawan Swasta;Rp 2.500.000 - Rp 2.400.000;S1;162;58;Sawo Matang;Bergelombang;Tidak;Tidak Ada;Tidak;
Perempuan;19/02/1991; Sleman;Mendengarkan Musik;Lajang;Islam;Islam;Karyawan Swasta;Rp 2.400.000 - Rp 2.600.000;SMA;175;72;Kuning Langsat;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;04/10/1995; Bandung;Menulis;Lajang;Islam;Islam;Editor;Rp 3.600.000 - Rp 4.200.000;S1;158;52;Putih;Keriting;Tidak;Tidak Ada;Tidak;
Perempuan;22/07/2000; Bekasi;Fotografi;Lajang;Islam;Islam;Web Developer;Rp 5.800.000 - Rp 6.000.000;S1;182;80;Sawo Matang;Bergelombang;Tidak;Tidak Ada;Tidak;
Laki-Laki;09/06/1999; Bandung;Bersepeda;Lajang;Islam;Islam;Marketing;Rp 3.000.000 - Rp 3.200.000;S1;165;60;Putih;Lurus;Tidak;Tidak Ada;Tidak;
Laki-Laki;31/08/1998; Bandung;Olahraga;Lajang;Islam;Islam;Guru;Rp 3.200.000 - Rp 3.400.000;SMA;175;70;Sawo Matang;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;18/04/2000; Bogor;Membaca;Lajang;Islam;Islam;UI/UX Designer;Rp 5.400.000 - Rp 5.800.000;S2;160;55;Putih;Bergelombang;Tidak;Tidak Ada;Tidak;
Laki-Laki;06/02/1999; Sleman;Fotografi;Lajang;Islam;Islam;Programmer;Rp 5.800.000 - Rp 6.000.000;S1;180;75;Kuning Langsat;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;14/09/2000;Surabaya;Menulis;Lajang;Islam;Islam;Desainer Grafis;Rp 4.200.000 - Rp 4.500.000;S1;165;60;Putih;Keriting;Tidak;Tidak Ada;Tidak;
Perempuan;08/12/1999; Bekasi;Memasak;Lajang;Islam;Islam;Guru;Rp 2.200.000 - Rp 2.900.000;SMA;170;80;Sawo Matang;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;28/12/2000; Bekasi;Mendengarkan Musik;Lajang;Islam;Islam;Marketing;Rp 3.500.000 - Rp 4.000.000;SMA;160;50;Sawo Matang;Bergelombang;Tidak;Tidak Ada;Tidak;
Laki-Laki;19/05/1995; Bandung;Berenang;Lajang;Islam;Islam;Apoteker;Rp 2.600.000 - Rp 3.000.000;S1;175;78;Putih;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;02/10/1994; Banyumas;Membaca;Lajang;Islam;Islam;Penulis;Rp 3.800.000 - Rp 4.600.000;S1;158;52;Sawo Matang;Lurus;Tidak;Tidak Ada;Tidak;
Perempuan;10/06/1998; Bandung;Memasak;Lajang;Islam;Islam;Penulis;Rp 3.000.000 - Rp 3.200.000;S1;172;65;Putih;Lurus;Tidak;Tidak Ada;Tidak;
Laki-Laki;23/03/2000; Bandung;Fotografi;Lajang;Islam;Islam;Fotografer;Rp 4.200.000 - Rp 5.00.000;SMA;160;58;Kuning Langsat;Bergelombang;Tidak;Tidak Ada;Tidak;
Perempuan;28/10/1996;Yogyakarta;Membaca;Lajang;Islam;Islam;Pedagang;Rp 1.000.000 - Rp 2.000.000;S1;160;49;Kuning Langsat;Lurus;Tidak;TB Kelenjar, Tumor Payudara;Tidak;
Laki-Laki;21/09/1997;Yogyakarta;Olahraga;Lajang;Islam;Islam;Pengusaha;Rp 3.000.000 - Rp 5.000.000;SMA;163;52;Sawo Matang;Lurus;Tidak;Tidak Ada;Tidak;
